date,keyword,tweet_count,tweet_normalized,CL,CR,CL1RT,CL2RT,TBraw_ave,TBpolar_ave,TBneg_ave,TBpos_ave,TBweight_cl2rt,VADERraw_ave,VADERpolar_ave,VADERneg_ave,VADERpos_ave,VADERweight_cl2rt
2007-11-30,PE,4,0.005333333333333333,4,4,4,4,0.13125,0.625,-0.1,0.625,0.13125,0.10870000000000002,0.7326,-0.1489,0.7326,0.10870000000000002
2007-12-31,PE,1,0.0017953321364452424,1,1,1,1,-0.5,-0.5,-0.5,,-0.5,0.1007,,,0.1007,0.1007
2008-01-31,PE,3,0.0036231884057971015,3,3,3,3,0.20000000000000004,,,0.20000000000000004,0.20000000000000004,-0.08946666666666665,-0.4215,-0.4215,0.1531,-0.08946666666666665
2008-02-29,PE,1,0.0005694760820045558,1,1,1,1,0.0,,,,0.0,0.0,,,,0.0
2008-03-31,PE,3,0.0032751091703056767,3,3,3,3,0.12319023569023564,0.468181818181818,-0.0493055555555555,0.468181818181818,0.12319023569023564,0.11239999999999999,0.17509999999999998,-0.2267,0.7906,0.11239999999999999
2008-04-30,PE,2,0.0018399264029438822,2,2,2,2,0.107142857142857,,,0.214285714285714,0.107142857142857,-0.28595,-0.5719,-0.5719,,-0.28595
2008-05-31,PE,1,0.000591016548463357,1,1,1,1,-0.4125,-0.4125,-0.4125,,-0.4125,-0.8992,-0.8992,-0.8992,,-0.8992
2008-06-30,PE,4,0.0019011406844106464,4,4,4,4,-0.02951388888888895,,-0.140277777777778,0.0222222222222222,-0.02951388888888895,0.0683,0.2732,,0.2732,0.0683
2008-07-31,PE,15,0.005893909626719057,15,15,15,15,0.10444444444444441,0.21666666666666667,-0.20416666666666675,0.2648148148148148,0.10444444444444441,0.28275999999999996,0.6558333333333334,-0.058666666666666666,0.44173999999999997,0.28275999999999996
2008-08-31,PE,13,0.0036292573981016193,13,13,13,13,0.0959071484071484,,-0.0388888888888888,0.16071022727272724,0.0959071484071484,0.2079230769230769,0.337875,-0.2732,0.4251714285714286,0.2079230769230769
2008-09-30,PE,21,0.007058823529411765,21,21,21,21,0.09637445887445886,,,0.1349242424242424,0.09637445887445886,0.138747619047619,0.21984666666666663,-0.2968571428571429,0.45379090909090913,0.138747619047619
2008-10-31,PE,33,0.009760425909494233,33,33,33,33,0.09516069788797064,0.06666666666666665,-0.2922424242424243,0.19172979797979797,0.09516069788797064,-0.019387878787878753,-0.04227307692307687,-0.35344375000000006,0.38579230769230777,-0.019387878787878753
2008-11-30,PE,25,0.0056625141562853904,26,25,26,26,0.12534977984977988,0.33749999999999997,-0.0722222222222222,0.17253626003626005,0.1333497798497799,0.13312,0.21871538461538462,-0.417475,0.35699285714285717,0.13312
2008-12-31,PE,25,0.005279831045406547,25,25,25,25,0.12921428571428578,0.3472222222222223,-0.16666666666666652,0.2096288515406164,0.12921428571428578,0.014579999999999989,0.02568947368421051,-0.52901,0.5140545454545454,0.014579999999999989
2009-01-31,PE,62,0.01041841707276088,62,62,62,62,0.09563749049636143,0.227579365079365,-0.15504629629629635,0.18243871643261886,0.09563749049636143,6.451612903224201e-05,-0.016224324324324347,-0.47224545454545463,0.4157360000000001,6.451612903224201e-05
2009-02-28,PE,46,0.006751798033171877,46,46,46,46,0.10399227785097354,0.0827777777777778,-0.2090740740740741,0.17663682277318643,0.10399227785097354,-0.04995217391304349,-0.06987666666666667,-0.45464210526315796,0.487723076923077,-0.04995217391304349
2009-03-31,PE,57,0.004975558659217877,57,57,57,57,0.04697097858282068,-0.0023763020833333093,-0.3306069302721089,0.23567234848484844,0.04697097858282068,-0.12355964912280702,-0.19385000000000002,-0.5123653846153846,0.44847142857142863,-0.12355964912280702
2009-04-30,PE,41,0.002206198880757641,43,43,45,47,0.0747909407665505,0.010222222222222199,-0.30277777777777803,0.17110158730158725,0.1168641114982578,0.016785365853658536,0.06727142857142858,-0.39623749999999996,0.4286777777777778,0.03086829268292682
2009-05-31,PE,136,0.003526696574436636,137,136,137,137,0.05353746564913842,-0.0007812500000000753,-0.4152248677248678,0.2162272641960141,0.05353746564913842,-0.08889117647058824,-0.15644999999999998,-0.37594848484848464,0.45440714285714295,-0.09106764705882353
2009-06-30,PE,132,0.002913135593220339,132,132,132,132,0.12543372886057533,0.33295036764705876,-0.16416666666666666,0.19525938812280086,0.12543372886057533,0.10462348484848483,0.1662976744186047,-0.4985903225806451,0.49604406779661003,0.10462348484848483
2009-07-31,PE,252,0.004602067277840681,255,252,255,255,0.04422553434954228,0.07621941137566139,-0.30114599946836773,0.22816548117053168,0.039860454984462904,0.17431468253968238,0.2427355704697986,-0.4610788461538463,0.4682993103448273,0.17807817460317443
2009-08-31,PE,428,0.006962066497494957,438,428,438,438,0.08103338805697162,0.38398148148148137,-0.14907063802083337,0.2267387960060375,0.08191604641626551,0.008599065420560738,-0.017621097046413445,-0.45920952380952323,0.2944535885167456,-0.0018049065420560639
2009-09-30,PE,259,0.0020847419427541133,261,259,261,261,0.07015147452647438,0.03404992085029401,-0.36742592592592604,0.2253467439546985,0.07285417722917709,-0.03075173745173741,-0.04584057142857137,-0.5033883495145631,0.48224505494505443,-0.03075173745173741
2009-10-31,PE,258,0.0024449877750611247,261,258,261,261,0.1045232688643542,0.2580985970819305,-0.17108049448735735,0.262441974896019,0.10894833346383741,0.0036434108527132227,-0.05738698630136987,-0.45623258426966296,0.35207372881355914,0.012513178294573712
