date,keyword,TBraw,VADERraw,TBstance,VADERstance,TBstanceweight,VADERstanceweight,CR_lognorm,TBraw_log,VADERraw_log,TBstance_log,VADERstance_log,TBstanceweight_log,VADERstanceweight_log,CR_lognorm_log,TBraw_log_stl,VADERraw_log_stl,TBstance_log_stl,VADERstance_log_stl,TBstanceweight_log_stl,VADERstanceweight_log_stl,CR_lognorm_log_stl,TBraw_stl,VADERraw_stl,TBstance_stl,VADERstance_stl,TBstanceweight_stl,VADERstanceweight_stl,CR_lognorm_stl
2009-01-31,PE,0.09501952585968976,0.12420227207362668,0.12724570435236957,0.15913206787460454,129.30674084155277,498.2559833267929,1.6857888287053195e-05,-28.42995242930264,4.688192028061341,35.3589266781258,65.80292808776775,1.0646558322279258,-0.3359488307114973,71.68289329693829,-1.6507602101299712,-12.314820545938014,5.824260927943344,14.622148505300506,3.6214373249688903,1.7906600815829312,97.6631297439925,0.19190396581538868,-0.12455516434025017,338.2961120729232,2240362.837701602,-91.1574084502983,-498.0625760280325,2.5975166091209443e+42
2009-02-28,PE,0.09962829048056321,0.07952783094098884,0.10940890679407425,0.1774572169059011,128.31065919172113,500.6786833267929,9.976866615057169e-06,4.736375938186682,-44.58044278726985,-15.102759570504599,10.899507533307995,-0.7733069377572914,0.4850576981657669,-52.454962025260976,-1.1262334632785789,-9.354897250047507,6.394387098947855,14.389134527721755,3.368241879594551,1.6572413992796078,98.12407660545583,0.32425226732832346,-0.12447310855396733,598.3615854790224,1774686.5690407222,-99.52123265687233,-498.81116082806193,4.1185563427287063e+42
2009-03-31,PE,0.04697097858282068,0.0010000000000000009,0.0010000000000000009,0.0010000000000000009,122.06102685646378,489.6227833267929,1.0796896370583952e-05,-75.19162311966792,-437.61070351278437,-469.50923016105565,-517.8729548346655,-4.993320858686567,-2.2329279998323246,7.898964513807787,-0.6430998415510083,-6.606660327774139,6.835294151259136,14.04463863963481,3.1168372031653586,1.525916035903408,98.5662469451726,0.5256604318429045,-0.1232083114762185,929.9870826412074,1257502.83757833,-105.97381418215896,-499.4566285124641,6.408806367170991e+42
2009-04-30,PE,0.07479094076655049,0.14134501497646554,0.097215989206201,0.2191140350877193,128.1840273293574,502.6168833267929,1.0986188875860174,46.516683086765504,495.1203816283634,457.6935195944262,538.9592302458149,4.894580510986003,2.6192951832493563,1153.0305672420332,-0.20910825909787037,-4.058421625699264,7.1456647828748965,13.587738643682753,2.86858328503771,1.397233297108391,99.00457132291933,0.811307399481802,-0.10728338310172489,1268.4795662815575,796305.6109052203,-110.9366318138704,-500.0119873871684,9.934339753420422e+42
2009-05-31,PE,0.052003247436486065,0.030082376395534294,0.06660281557889214,0.1526579744816587,122.18421138027331,490.6505833267929,1.8328252703623968e-05,-36.33905975659208,-154.72643178114168,-37.81883433321814,-36.13923443426327,-4.793710962704526,-2.4095984983063032,-1100.112065925568,0.18507621204177793,-1.6349325175318072,7.394628671316316,13.094141268951628,2.6255453996385523,1.2723647354144905,99.40170362258297,1.203310143356123,0.07040587848747598,1627.1057592420439,486085.95334041887,-114.73657582787155,-500.48670032632816,1.47778541191994e+43
2009-06-30,PE,0.12328545046925952,0.22174468849288576,0.16857797722578338,0.28460852327669567,135.37613530704098,507.9160833267929,1.5419245623574434e-05,86.31962348141626,199.7587169749138,92.86515629873158,62.291467535846955,10.252725638962215,3.458401209392715,-17.282728790990433,0.5529367229458175,0.6936986283727893,7.609909881273733,12.591042271642824,2.389596409732214,1.1529987113813152,99.54899056113666,1.7383505831807908,1.8765435506534767,2017.9814027656535,293913.6826298055,-117.63959082544075,-500.88830569421464,1.7122898398924623e+43
2009-07-31,PE,0.04422553434954229,0.29887433166248956,0.18995991544618318,0.4312862573099415,147.48431900413092,548.6781833267929,2.707771299921477e-05,-102.52000796522707,29.84965213772654,11.941466296762773,41.56574062590884,8.566476661971349,7.719583898468518,56.309454598620064,0.9071640712110272,2.9530320783152075,7.808069806916427,12.09154009123474,2.1646389096020684,1.0415215342017292,99.34681537604628,2.4772871522264466,19.039412741213656,2460.262028221918,178356.3271022388,-119.83722535140187,-501.22245828541577,1.3988582627653555e+43
2009-08-31,PE,0.07870012394729692,0.12826527259468964,0.18136620400583775,0.4013511989019002,155.7666940191622,564.2350833267928,3.933192758784584e-05,57.63424078609939,-84.59226280787627,-4.629486471597569,-7.193518798690918,5.4637478345443435,2.795889644811336,37.3325604889353,1.249553468639103,5.1348676990693765,7.992515960636695,11.59919164041136,1.9535132287953323,0.9404635965332354,98.75318060389148,3.4887847577894497,169.71728850450867,2958.6168367451714,109009.3904454432,-121.49525668144986,-501.4948148348126,7.726119243212054e+42
2009-09-30,PE,0.06991919028154434,0.09356859853914942,0.14781479238027467,0.25413815960133795,137.02872947791641,504.0364833267929,2.2354242864904768e-05,-11.830457971730892,-31.540572001707552,-20.45581265812953,-45.69587971685491,-12.81687285757767,-11.282232605959429,-56.50204554681713,1.5827158981012563,7.2096516076830435,8.15660530111301,11.10403075697901,1.7562523005251156,0.8513394548020115,97.76423327945247,4.8681592980533885,1352.2964525491186,3486.216628826025,66438.16408444082,-122.7579861837833,-501.7132005238926,2.873869483259054e+42
2009-10-31,PE,0.10276812925034268,0.1264118230358505,0.14417703438087773,0.2389922959572845,135.97639151495343,500.2048833267929,2.0105225586703887e-05,38.513512756650265,30.085017251172363,-2.4918137371019187,-6.144673765399758,-0.7709329196198519,-0.7630871860326836,-10.603637968442872,1.9124473676921623,9.122562002233877,8.268573323045175,10.568726251742069,1.5599480090788498,0.7677081372482599,96.47249085069855,6.769636330567324,9159.514035702437,3899.2670451133095,38898.84028757615,-123.7901072411737,-501.9011612929366,7.897150813822922e+41
