date,Target,Order,Nowcast,Actual,Difference,Overall RMSE,Month RMSE,Year RMSE,Period RMSE
2017-01-01,2017,"(1, 1, 1, 0)",,6.930988359106127,,5.2834973055660575,,0.2777007469059785,0.25363019378053026
2017-02-01,2017,"(1, 1, 1, 0)",,6.930988359106127,,5.2834973055660575,,0.2777007469059785,0.25363019378053026
2017-03-01,2017,"(1, 1, 1, 0)",6.770067614651398,6.930988359106127,-0.16092074445472893,5.2834973055660575,7.58271256474947,0.2777007469059785,0.25363019378053026
2017-04-01,2017,"(1, 1, 1, 0)",6.770167503986135,6.930988359106127,-0.1608208551199919,5.2834973055660575,7.480777076979317,0.2777007469059785,0.25363019378053026
2017-05-01,2017,"(1, 1, 1, 0)",6.812195634456275,6.930988359106127,-0.11879272464985213,5.2834973055660575,7.534072584824662,0.2777007469059785,0.25363019378053026
2017-06-01,2017,"(1, 1, 1, 0)",6.462723763044909,6.930988359106127,-0.4682645960612186,5.2834973055660575,6.43117979002982,0.2777007469059785,0.25363019378053026
2017-07-01,2017,"(1, 1, 1, 0)",6.460443446362052,6.930988359106127,-0.4705449127440753,5.2834973055660575,5.741629892802589,0.2777007469059785,0.25363019378053026
2017-08-01,2017,"(1, 1, 1, 0)",6.447938208595128,6.930988359106127,-0.48305015051099964,5.2834973055660575,5.602982326675346,0.2777007469059785,0.25363019378053026
2017-09-01,2017,"(1, 1, 1, 0)",6.898884427073626,6.930988359106127,-0.03210393203250117,5.2834973055660575,0.5813924281452668,0.2777007469059785,0.25363019378053026
2017-10-01,2017,"(1, 1, 1, 0)",6.911945005272613,6.930988359106127,-0.01904335383351441,5.2834973055660575,1.1470963842918747,0.2777007469059785,0.25363019378053026
2017-11-01,2017,"(1, 1, 1, 0)",6.916033043000436,6.930988359106127,-0.014955316105691452,5.2834973055660575,1.1831293299271302,0.2777007469059785,0.25363019378053026
2017-12-01,2017,"(1, 1, 1, 0)",7.103231894412554,6.930988359106127,0.17224353530642666,5.2834973055660575,0.3977335771846543,0.2777007469059785,0.25363019378053026
2018-01-01,2018,"(1, 1, 1, 0)",,6.341485548182635,,5.2834973055660575,,0.2072364530010707,0.25363019378053026
2018-02-01,2018,"(1, 1, 1, 0)",,6.341485548182635,,5.2834973055660575,,0.2072364530010707,0.25363019378053026
2018-03-01,2018,"(1, 1, 1, 0)",6.697104782123553,6.341485548182635,0.3556192339409181,5.2834973055660575,7.58271256474947,0.2072364530010707,0.25363019378053026
2018-04-01,2018,"(1, 1, 1, 0)",6.695838038042612,6.341485548182635,0.354352489859977,5.2834973055660575,7.480777076979317,0.2072364530010707,0.25363019378053026
2018-05-01,2018,"(1, 1, 1, 0)",6.698918394649467,6.341485548182635,0.35743284646683193,5.2834973055660575,7.534072584824662,0.2072364530010707,0.25363019378053026
2018-06-01,2018,"(1, 1, 1, 0)",6.450242306903942,6.341485548182635,0.10875675872130675,5.2834973055660575,6.43117979002982,0.2072364530010707,0.25363019378053026
2018-07-01,2018,"(1, 1, 1, 0)",6.445378670827928,6.341485548182635,0.10389312264529327,5.2834973055660575,5.741629892802589,0.2072364530010707,0.25363019378053026
2018-08-01,2018,"(1, 1, 1, 0)",6.459841275333433,6.341485548182635,0.11835572715079845,5.2834973055660575,5.602982326675346,0.2072364530010707,0.25363019378053026
2018-09-01,2018,"(1, 1, 1, 0)",6.409025275756419,6.341485548182635,0.06753972757378435,5.2834973055660575,0.5813924281452668,0.2072364530010707,0.25363019378053026
2018-10-01,2018,"(1, 1, 1, 0)",6.409463301326812,6.341485548182635,0.0679777531441772,5.2834973055660575,1.1470963842918747,0.2072364530010707,0.25363019378053026
2018-11-01,2018,"(1, 1, 1, 0)",6.390306850151162,6.341485548182635,0.04882130196852685,5.2834973055660575,1.1831293299271302,0.2072364530010707,0.25363019378053026
2018-12-01,2018,"(1, 1, 1, 0)",6.302956244095292,6.341485548182635,-0.03852930408734245,5.2834973055660575,0.3977335771846543,0.2072364530010707,0.25363019378053026
2019-01-01,2019,"(1, 1, 1, 0)",,6.118525685547538,,5.2834973055660575,,0.27003735539151724,0.25363019378053026
2019-02-01,2019,"(1, 1, 1, 0)",,6.118525685547538,,5.2834973055660575,,0.27003735539151724,0.25363019378053026
2019-03-01,2019,"(1, 1, 1, 0)",6.189419119386641,6.118525685547538,0.07089343383910318,5.2834973055660575,7.58271256474947,0.27003735539151724,0.25363019378053026
