date,Target,Order,Nowcast,Actual,Difference,Overall RMSE,Month RMSE,Year RMSE,Period RMSE
2017-01-01,2017,1,,6.930988359106127,,8.250313050502836,,0.4163988613064526,0.27513712173080757
2017-02-01,2017,1,,6.930988359106127,,8.250313050502836,,0.4163988613064526,0.27513712173080757
2017-03-01,2017,1,6.536668642884935,6.930988359106127,-0.394319716221192,8.250313050502836,8.002341452313866,0.4163988613064526,0.27513712173080757
2017-04-01,2017,1,6.536668642884935,6.930988359106127,-0.394319716221192,8.250313050502836,8.002341452313866,0.4163988613064526,0.27513712173080757
2017-05-01,2017,1,6.536668642884935,6.930988359106127,-0.394319716221192,8.250313050502836,8.002341452313866,0.4163988613064526,0.27513712173080757
2017-06-01,2017,1,6.298187054788307,6.930988359106127,-0.6328013043178204,8.250313050502836,5.695408028417605,0.4163988613064526,0.27513712173080757
2017-07-01,2017,1,6.298187054788307,6.930988359106127,-0.6328013043178204,8.250313050502836,5.695408028417605,0.4163988613064526,0.27513712173080757
2017-08-01,2017,1,6.298187054788307,6.930988359106127,-0.6328013043178204,8.250313050502836,5.695408028417605,0.4163988613064526,0.27513712173080757
2017-09-01,2017,1,6.812222705562121,6.930988359106127,-0.11876565354400626,8.250313050502836,11.418286395605781,0.4163988613064526,0.27513712173080757
2017-10-01,2017,1,6.812222705562121,6.930988359106127,-0.11876565354400626,8.250313050502836,11.418286395605781,0.4163988613064526,0.27513712173080757
2017-11-01,2017,1,6.812222705562121,6.930988359106127,-0.11876565354400626,8.250313050502836,11.418286395605781,0.4163988613064526,0.27513712173080757
2017-12-01,2017,1,7.0852209352585405,6.930988359106127,0.15423257615241326,8.250313050502836,0.3455975809992772,0.4163988613064526,0.27513712173080757
2018-01-01,2018,1,,6.341485548182635,,8.250313050502836,,0.0669379597930264,0.27513712173080757
2018-02-01,2018,1,,6.341485548182635,,8.250313050502836,,0.0669379597930264,0.27513712173080757
2018-03-01,2018,1,6.444891953685361,6.341485548182635,0.10340640550272617,8.250313050502836,8.002341452313866,0.0669379597930264,0.27513712173080757
2018-04-01,2018,1,6.444891953685361,6.341485548182635,0.10340640550272617,8.250313050502836,8.002341452313866,0.0669379597930264,0.27513712173080757
2018-05-01,2018,1,6.444891953685361,6.341485548182635,0.10340640550272617,8.250313050502836,8.002341452313866,0.0669379597930264,0.27513712173080757
2018-06-01,2018,1,6.387562284843895,6.341485548182635,0.04607673666126022,8.250313050502836,5.695408028417605,0.0669379597930264,0.27513712173080757
2018-07-01,2018,1,6.387562284843895,6.341485548182635,0.04607673666126022,8.250313050502836,5.695408028417605,0.0669379597930264,0.27513712173080757
2018-08-01,2018,1,6.387562284843895,6.341485548182635,0.04607673666126022,8.250313050502836,5.695408028417605,0.0669379597930264,0.27513712173080757
2018-09-01,2018,1,6.373853500951099,6.341485548182635,0.03236795276846394,8.250313050502836,11.418286395605781,0.0669379597930264,0.27513712173080757
2018-10-01,2018,1,6.373853500951099,6.341485548182635,0.03236795276846394,8.250313050502836,11.418286395605781,0.0669379597930264,0.27513712173080757
2018-11-01,2018,1,6.373853500951099,6.341485548182635,0.03236795276846394,8.250313050502836,11.418286395605781,0.0669379597930264,0.27513712173080757
2018-12-01,2018,1,6.284775756856731,6.341485548182635,-0.056709791325904035,8.250313050502836,0.3455975809992772,0.0669379597930264,0.27513712173080757
2019-01-01,2019,1,,6.118525685547538,,8.250313050502836,,0.22188421553678972,0.27513712173080757
2019-02-01,2019,1,,6.118525685547538,,8.250313050502836,,0.22188421553678972,0.27513712173080757
2019-03-01,2019,1,6.320380550043625,6.118525685547538,0.20185486449608714,8.250313050502836,8.002341452313866,0.22188421553678972,0.27513712173080757
2019-04-01,2019,1,6.320380550043625,6.118525685547538,0.20185486449608714,8.250313050502836,8.002341452313866,0.22188421553678972,0.27513712173080757
2019-05-01,2019,1,6.320380550043625,6.118525685547538,0.20185486449608714,8.250313050502836,8.002341452313866,0.22188421553678972,0.27513712173080757
2019-06-01,2019,1,5.998035878176422,6.118525685547538,-0.12048980737111581,8.250313050502836,5.695408028417605,0.22188421553678972,0.27513712173080757
2019-07-01,2019,1,5.998035878176422,6.118525685547538,-0.12048980737111581,8.250313050502836,5.695408028417605,0.22188421553678972,0.27513712173080757
2019-08-01,2019,1,5.998035878176422,6.118525685547538,-0.12048980737111581,8.250313050502836,5.695408028417605,0.22188421553678972,0.27513712173080757
2019-09-01,2019,1,5.792136085498445,6.118525685547538,-0.3263896000490929,8.250313050502836,11.418286395605781,0.22188421553678972,0.27513712173080757
2019-10-01,2019,1,5.792136085498445,6.118525685547538,-0.3263896000490929,8.250313050502836,11.418286395605781,0.22188421553678972,0.27513712173080757
2019-11-01,2019,1,5.792136085498445,6.118525685547538,-0.3263896000490929,8.250313050502836,11.418286395605781,0.22188421553678972,0.27513712173080757
2019-12-01,2019,1,6.035183031522373,6.118525685547538,-0.08334265402516472,8.250313050502836,0.3455975809992772,0.22188421553678972,0.27513712173080757
2020-01-01,2020,1,,-9.518294763329093,,8.250313050502836,,18.69190084307257,11.66446014296592
2020-02-01,2020,1,,-9.518294763329093,,8.250313050502836,,18.69190084307257,11.66446014296592
2020-03-01,2020,1,6.423291329335923,-9.518294763329093,15.941586092665016,8.250313050502836,8.002341452313866,18.69190084307257,11.66446014296592
2020-04-01,2020,1,6.423291329335923,-9.518294763329093,15.941586092665016,8.250313050502836,8.002341452313866,18.69190084307257,11.66446014296592
2020-05-01,2020,1,6.423291329335923,-9.518294763329093,15.941586092665016,8.250313050502836,8.002341452313866,18.69190084307257,11.66446014296592
