date,Model,Nowcast_A,Actual_A,Difference_A,Overall_RMSE_A,Month_RMSE_A,Quarter_RMSE_A,Year_RMSE_A,Period_RMSE_A,Nowcast_Q,Actual_Q,Difference_Q,Overall_RMSE_Q,Month_RMSE_Q,Quarter_RMSE_Q,Period_RMSE_Q,ForecastQ1,ForecastQ2,ForecastQ3,ForecastQ4
2017-01-31,"DFM(1, 3, 1, 0)",,6.930988359106127,,4.651134397360903,,5.135813601246687,0.6739039570179468,0.44184732392610454,6.6379765697944295,6.374132670872501,0.2638438989219285,6.242904218151225,8.077051312364793,0.16739676985838786,0.6203403573102231,6.6379765697944295,6.253310872830706,5.965539678333658,5.900056855552142
2017-02-28,"DFM(1, 3, 1, 0)",6.0794798219163,6.930988359106127,-0.8515085371898268,4.651134397360903,7.37861285373425,4.53551289093118,0.6739039570179468,0.44184732392610454,6.466049738201381,6.374132670872501,0.09191706732887983,6.242904218151225,5.2312627456802705,0.16739676985838786,0.6203403573102231,6.466049738201381,6.0790073916255665,5.899530439083109,5.9083694251929995
2017-03-31,"DFM(1, 3, 1, 0)",6.074370938546725,6.930988359106127,-0.8566174205594024,4.651134397360903,7.244241380436576,4.374651706993041,0.6739039570179468,0.44184732392610454,6.451609670120017,6.374132670872501,0.07747699924751572,6.242904218151225,4.931195738775231,0.16739676985838786,0.6203403573102231,6.451609670120017,6.108262031822978,5.894691529089456,5.878285527078159
2017-04-30,"DFM(1, 3, 1, 0)",6.071818956252795,6.930988359106127,-0.8591694028533325,4.651134397360903,7.305199878120903,5.135813601246687,0.6739039570179468,0.44184732392610454,6.081059514010861,7.177099324384795,-1.0960398103739335,6.242904218151225,8.077051312364793,1.1301680992346326,0.6203403573102231,6.460206448842041,6.081059514010861,5.8889811270055645,5.892461601391573
2017-05-31,"DFM(1, 3, 1, 0)",5.994936318254718,6.930988359106127,-0.9360520408514095,4.651134397360903,5.0796242395225715,4.53551289093118,0.6739039570179468,0.44184732392610454,6.031779461868963,7.177099324384795,-1.1453198625158318,6.242904218151225,5.2312627456802705,1.1301680992346326,0.6203403573102231,6.44668561134365,6.031779461868963,5.788385401486602,5.818176004965149
2017-06-30,"DFM(1, 3, 1, 0)",5.98811576903886,6.930988359106127,-0.9428725900672674,4.651134397360903,4.6981908083646715,4.374651706993041,0.6739039570179468,0.44184732392610454,6.028718314360224,7.177099324384795,-1.148381010024571,6.242904218151225,4.931195738775231,1.1301680992346326,0.6203403573102231,6.445400656669151,6.028718314360224,5.778447663651623,5.804696987355348
2017-07-31,"DFM(1, 3, 1, 0)",5.985420305916955,6.930988359106127,-0.9455680531891719,4.651134397360903,4.804464854414138,5.135813601246687,0.6739039570179468,0.44184732392610454,5.784141271044317,7.5315964750689135,-1.7474552040245968,6.242904218151225,8.077051312364793,1.1595335989567301,0.6203403573102231,6.448783936789755,6.019195368708491,5.784141271044317,5.798761350176491
2017-08-31,"DFM(1, 3, 1, 0)",6.796407517982783,6.930988359106127,-0.134580841123344,4.651134397360903,1.171991318341714,4.53551289093118,0.6739039570179468,0.44184732392610454,6.783902117339209,7.5315964750689135,-0.7476943577297046,6.242904218151225,5.2312627456802705,1.1595335989567301,0.6203403573102231,6.487111437615774,6.059357972366856,6.783902117339209,6.80653780224022
2017-09-30,"DFM(1, 3, 1, 0)",6.876701799932627,6.930988359106127,-0.05428655917349978,4.651134397360903,1.2385527085957422,4.374651706993041,0.6739039570179468,0.44184732392610454,6.882822278082658,7.5315964750689135,-0.6487741969862553,6.242904218151225,4.931195738775231,1.1595335989567301,0.6203403573102231,6.547512740502087,6.027634251640358,6.882822278082658,7.0155523311773385
2017-10-31,"DFM(1, 3, 1, 0)",6.874495739610076,6.930988359106127,-0.05649261949605133,4.651134397360903,1.6373503729052776,5.135813601246687,0.6739039570179468,0.44184732392610454,7.009833010278782,6.641205761074875,0.36862724920390644,6.242904218151225,8.077051312364793,0.754152538487346,0.6203403573102231,6.545422658360873,6.025188487530029,6.8800781982889605,7.009833010278782
2017-11-30,"DFM(1, 3, 1, 0)",7.170566010697477,6.930988359106127,0.23957765159134947,4.651134397360903,0.8145152085171387,4.53551289093118,0.6739039570179468,0.44184732392610454,7.526408390730142,6.641205761074875,0.8852026296552662,6.242904218151225,5.2312627456802705,0.754152538487346,0.6203403573102231,6.567362114125156,6.039450224271587,6.93775553737928,7.526408390730142
2017-12-31,"DFM(1, 3, 1, 0)",7.1710523739405785,6.930988359106127,0.24006401483445128,4.651134397360903,0.6813716813800998,4.374651706993041,0.6739039570179468,0.44184732392610454,7.528205428220521,6.641205761074875,0.8869996671456457,6.242904218151225,4.931195738775231,0.754152538487346,0.6203403573102231,6.566733685906937,6.0423940089454415,6.938322694421046,7.528205428220521
2018-01-31,"DFM(1, 3, 1, 0)",,6.341485548182635,,4.651134397360903,,5.135813601246687,0.11647745716392875,0.44184732392610454,7.036117298560523,6.45455988268846,0.5815574158720631,6.242904218151225,8.077051312364793,0.3361586174681667,0.6203403573102231,7.036117298560523,6.586589320471239,6.212168021279826,5.992178526861024
2018-02-28,"DFM(1, 3, 1, 0)",6.14432392013573,6.341485548182635,-0.19716162804690462,4.651134397360903,7.37861285373425,4.53551289093118,0.11647745716392875,0.44184732392610454,6.4353213216364615,6.45455988268846,-0.019238561051998282,6.242904218151225,5.2312627456802705,0.3361586174681667,0.6203403573102231,6.4353213216364615,6.066824051984616,6.030111060127761,6.071997387083231
2018-03-31,"DFM(1, 3, 1, 0)",6.163882457003966,6.341485548182635,-0.17760309117866857,4.651134397360903,7.244241380436576,4.374651706993041,0.11647745716392875,0.44184732392610454,6.433854856555068,6.45455988268846,-0.02070502613339187,6.242904218151225,4.931195738775231,0.3361586174681667,0.6203403573102231,6.433854856555068,6.089932350529085,6.055871672463568,6.100575298609453
2018-04-30,"DFM(1, 3, 1, 0)",6.230271560013745,6.341485548182635,-0.11121398816889005,4.651134397360903,7.305199878120903,5.135813601246687,0.11647745716392875,0.44184732392610454,6.091207083341233,6.378895138790686,-0.2876880554494523,6.242904218151225,8.077051312364793,0.30082150366372923,0.6203403573102231,6.434519063396402,6.091207083341233,6.196921790801852,6.218713320543124
2018-05-31,"DFM(1, 3, 1, 0)",6.154393196711583,6.341485548182635,-0.18709235147105208,4.651134397360903,5.0796242395225715,4.53551289093118,0.11647745716392875,0.44184732392610454,6.046864004757534,6.378895138790686,-0.33203113403315143,6.242904218151225,5.2312627456802705,0.30082150366372923,0.6203403573102231,6.411888017154727,6.046864004757534,6.057501494403869,6.087499032883674
2018-06-30,"DFM(1, 3, 1, 0)",6.234365088176341,6.341485548182635,-0.1071204600062936,4.651134397360903,4.6981908083646715,4.374651706993041,0.11647745716392875,0.44184732392610454,6.09876723945916,6.378895138790686,-0.28012789933152593,6.242904218151225,4.931195738775231,0.30082150366372923,0.6203403573102231,6.427862162249565,6.09876723945916,6.188516628430249,6.217035543829492
2018-07-31,"DFM(1, 3, 1, 0)",6.253454948931325,6.341485548182635,-0.08803059925130974,4.651134397360903,4.804464854414138,5.135813601246687,0.11647745716392875,0.44184732392610454,6.189859887630139,6.145971043999454,0.04388884363068524,6.242904218151225,8.077051312364793,0.13455690209997093,0.6203403573102231,6.427116293036743,6.094863412784025,6.189859887630139,6.290297520728163
2018-08-31,"DFM(1, 3, 1, 0)",6.383989904406806,6.341485548182635,0.04250435622417115,4.651134397360903,1.171991318341714,4.53551289093118,0.11647745716392875,0.44184732392610454,6.3087591303899755,6.145971043999454,0.16278808639052134,6.242904218151225,5.2312627456802705,0.13455690209997093,0.6203403573102231,6.427559612620966,6.102471137251467,6.3087591303899755,6.395811511907005
2018-09-30,"DFM(1, 3, 1, 0)",6.3857582609675,6.341485548182635,0.04427271278486522,4.651134397360903,1.2385527085957422,4.374651706993041,0.11647745716392875,0.44184732392610454,6.306876258465291,6.145971043999454,0.16090521446583672,6.242904218151225,4.931195738775231,0.13455690209997093,0.6203403573102231,6.426207221919627,6.097466236873046,6.306876258465291,6.404045556808732
2018-10-31,"DFM(1, 3, 1, 0)",6.386049217796841,6.341485548182635,0.04456366961420599,4.651134397360903,1.6373503729052776,5.135813601246687,0.11647745716392875,0.44184732392610454,6.408835500557538,6.383800794493566,0.0250347060639724,6.242904218151225,8.077051312364793,0.17269409064578886,0.6203403573102231,6.421314885280638,6.101181815209773,6.302722171457937,6.408835500557538
2018-11-30,"DFM(1, 3, 1, 0)",6.2846413479041185,6.341485548182635,-0.05684420027851633,4.651134397360903,0.8145152085171387,4.53551289093118,0.11647745716392875,0.44184732392610454,6.173199475448411,6.383800794493566,-0.21060131904515522,6.242904218151225,5.2312627456802705,0.17269409064578886,0.6203403573102231,6.412114646877051,6.080982143091584,6.292583185290746,6.173199475448411
2018-12-31,"DFM(1, 3, 1, 0)",6.28455350904169,6.341485548182635,-0.05693203914094447,4.651134397360903,0.6813716813800998,4.374651706993041,0.11647745716392875,0.44184732392610454,6.172874042419157,6.383800794493566,-0.2109267520744087,6.242904218151225,4.931195738775231,0.17269409064578886,0.6203403573102231,6.4102970637040135,6.078893697606516,6.290687918963858,6.172874042419157
2019-01-31,"DFM(1, 3, 1, 0)",,6.118525685547538,,4.651134397360903,,5.135813601246687,0.34347289801403297,0.44184732392610454,6.363348217837401,5.873679253937936,0.4896689638994651,6.242904218151225,8.077051312364793,0.5721814412981275,0.6203403573102231,6.363348217837401,6.5849756003987565,6.778839000070478,6.894581282218016
2019-02-28,"DFM(1, 3, 1, 0)",6.727852256147915,6.118525685547538,0.609326570600377,4.651134397360903,7.37861285373425,4.53551289093118,0.34347289801403297,0.44184732392610454,6.48216040918381,5.873679253937936,0.6084811552458742,6.242904218151225,5.2312627456802705,0.5721814412981275,0.6203403573102231,6.48216040918381,6.678476468489226,6.822734746157732,6.900517753067002
2019-03-31,"DFM(1, 3, 1, 0)",6.731737895389389,6.118525685547538,0.6132122098418513,4.651134397360903,7.244241380436576,4.374651706993041,0.34347289801403297,0.44184732392610454,6.48372006798424,5.873679253937936,0.6100408140463047,6.242904218151225,4.931195738775231,0.5721814412981275,0.6203403573102231,6.48372006798424,6.67936607993252,6.827728687332835,6.908270854496616
2019-04-30,"DFM(1, 3, 1, 0)",6.682195977968131,6.118525685547538,0.5636702924205927,4.651134397360903,7.305199878120903,5.135813601246687,0.34347289801403297,0.44184732392610454,6.681290341887513,5.625398550302285,1.0558917915852275,6.242904218151225,8.077051312364793,0.7520331554440964,0.6203403573102231,6.478189925044437,6.681290341887513,6.7253222661751835,6.818984896769066
2019-05-31,"DFM(1, 3, 1, 0)",6.23635322594156,6.118525685547538,0.1178275403940221,4.651134397360903,5.0796242395225715,4.53551289093118,0.34347289801403297,0.44184732392610454,6.174105658845922,5.625398550302285,0.5487071085436366,6.242904218151225,5.2312627456802705,0.7520331554440964,0.6203403573102231,6.462075729753418,6.174105658845922,6.246500733050942,6.596875407435976
2019-06-30,"DFM(1, 3, 1, 0)",6.210258190597595,6.118525685547538,0.09173250505005726,4.651134397360903,4.6981908083646715,4.374651706993041,0.34347289801403297,0.44184732392610454,6.155185898356421,5.625398550302285,0.5297873480541355,6.242904218151225,4.931195738775231,0.7520331554440964,0.6203403573102231,6.4510927289539906,6.155185898356421,6.212450006168619,6.548701534225505
2019-07-31,"DFM(1, 3, 1, 0)",6.21982926940623,6.118525685547538,0.10130358385869176,4.651134397360903,4.804464854414138,5.135813601246687,0.34347289801403297,0.44184732392610454,6.260315322911567,6.329033643492488,-0.06871832058092053,6.242904218151225,8.077051312364793,0.41489833567394757,0.6203403573102231,6.4579330230674135,6.174771232885459,6.260315322911567,6.522726600798687
2019-08-31,"DFM(1, 3, 1, 0)",5.85670078088234,6.118525685547538,-0.2618249046651977,4.651134397360903,1.171991318341714,4.53551289093118,0.34347289801403297,0.44184732392610454,5.822694028926715,6.329033643492488,-0.506339614565773,6.242904218151225,5.2312627456802705,0.41489833567394757,0.6203403573102231,6.44227604894096,6.14508427495946,5.822694028926715,6.09388648975689
2019-09-30,"DFM(1, 3, 1, 0)",5.863833848427347,6.118525685547538,-0.25469183712019117,4.651134397360903,1.2385527085957422,4.374651706993041,0.34347289801403297,0.44184732392610454,5.823741773408516,6.329033643492488,-0.5052918700839717,6.242904218151225,4.931195738775231,0.41489833567394757,0.6203403573102231,6.447347937369581,6.147218399561715,5.823741773408516,6.119369041253038
2019-10-31,"DFM(1, 3, 1, 0)",5.860465912992541,6.118525685547538,-0.2580597725549971,4.651134397360903,1.6373503729052776,5.135813601246687,0.34347289801403297,0.44184732392610454,6.1151335244799725,6.612092124136315,-0.4969585996563426,6.242904218151225,8.077051312364793,0.28773073833126056,0.6203403573102231,6.438823014236196,6.137600188011778,5.814502694051328,6.1151335244799725
