date,Model,Nowcast_A,Actual_A,Difference_A,Overall_RMSE_A,Month_RMSE_A,Quarter_RMSE_A,Year_RMSE_A,Period_RMSE_A,Nowcast_Q,Actual_Q,Difference_Q,Overall_RMSE_Q,Month_RMSE_Q,Quarter_RMSE_Q,Period_RMSE_Q,ForecastQ1,ForecastQ2,ForecastQ3,ForecastQ4
2017-01-31,"DFM(1, 0, 1, 0)",,6.7878856184670555,,5.016096456728393,,5.587554318647408,0.4380073987245074,0.3623936739683832,6.259317043266697,7.481527803138946,-1.2222107598722491,15.443600080252104,15.251658751961664,1.2443391020376537,3.845008236548018,6.259317043266697,6.314856652765175,6.203033526044642,6.234658662559345
2017-02-28,"DFM(1, 0, 1, 0)",6.152693431990319,6.7878856184670555,-0.6351921864767363,5.016096456728393,6.655156373751632,4.661544183029634,0.4380073987245074,0.3623936739683832,6.218862873085137,7.481527803138946,-1.262664930053809,15.443600080252104,15.973478013015546,1.2443391020376537,3.845008236548018,6.218862873085137,5.912031842091567,6.2920213056980385,6.186298851423792
2017-03-31,"DFM(1, 0, 1, 0)",6.142407489213464,6.7878856184670555,-0.6454781292535916,5.016096456728393,6.636334357650056,4.903855468465067,0.4380073987245074,0.3623936739683832,6.2337227160182325,7.481527803138946,-1.2478050871207138,15.443600080252104,15.091363616244509,1.2443391020376537,3.845008236548018,6.2337227160182325,5.8296200789922725,6.341407225690305,6.163353972559448
2017-04-30,"DFM(1, 0, 1, 0)",6.119970165593669,6.7878856184670555,-0.6679154528733866,5.016096456728393,6.444236848909084,5.587554318647408,0.4380073987245074,0.3623936739683832,5.7103184161818366,9.267269126569667,-3.556950710387831,15.443600080252104,15.251658751961664,3.4395119601297184,3.845008236548018,6.219096036722775,5.7103184161818366,6.404137902394467,6.143716241445842
2017-05-31,"DFM(1, 0, 1, 0)",6.272085747061662,6.7878856184670555,-0.5157998714053935,5.016096456728393,5.870835275766363,4.661544183029634,0.4380073987245074,0.3623936739683832,5.55861724368598,9.267269126569667,-3.7086518828836876,15.443600080252104,15.973478013015546,3.4395119601297184,3.845008236548018,6.2865982889403105,5.55861724368598,6.574836759224296,6.132664414451139
2017-06-30,"DFM(0, 0, 1, 0)",6.394511455675311,6.7878856184670555,-0.3933741627917442,5.016096456728393,5.737093098516327,4.903855468465067,0.4380073987245074,0.3623936739683832,6.253180470428159,9.267269126569667,-3.0140886561415083,15.443600080252104,15.091363616244509,3.4395119601297184,3.845008236548018,6.253180470428159,6.253180470428159,6.253180470428159,6.253180470428159
2017-07-31,"DFM(1, 0, 1, 0)",6.244924929142215,6.7878856184670555,-0.5429606893248407,5.016096456728393,5.9782679339782065,5.587554318647408,0.4380073987245074,0.3623936739683832,6.731888791381634,7.146923629052212,-0.4150348376705786,15.443600080252104,15.251658751961664,0.35081399861894624,3.845008236548018,6.28786865095438,5.4650158195526215,6.731888791381634,5.962618716864736
2017-08-31,"DFM(1, 0, 1, 0)",6.740418246957769,6.7878856184670555,-0.04746737150928659,5.016096456728393,2.3130155954137943,4.661544183029634,0.4380073987245074,0.3623936739683832,6.826418161310287,7.146923629052212,-0.320505467741925,15.443600080252104,15.973478013015546,0.35081399861894624,3.845008236548018,6.404985290258158,5.700661265869986,6.826418161310287,6.105564004329545
2017-09-30,"DFM(1, 0, 1, 0)",6.738926863127315,6.7878856184670555,-0.04895875533974081,5.016096456728393,4.041734136691191,4.903855468465067,0.4380073987245074,0.3623936739683832,6.8399485265628925,7.146923629052212,-0.3069751024893197,15.443600080252104,15.091363616244509,0.35081399861894624,3.845008236548018,6.408944213253696,5.680041012342674,6.8399485265628925,6.086391049172027
2017-10-31,"DFM(1, 0, 1, 0)",6.765907615602962,6.7878856184670555,-0.021978002864093682,5.016096456728393,4.0490015727628625,5.587554318647408,0.4380073987245074,0.3623936739683832,6.247309241974604,0.800972372323639,5.446336869650965,15.443600080252104,15.251658751961664,5.56105493616881,3.845008236548018,6.402148830045824,5.734365089983461,6.7837857546667495,6.247309241974604
