Region,PH,ID,MY,TH,VN,SG,BN
09/2006,46800.1633,,59525.8480,77096.7913,,51868.4593,
12/2006,53467.4275,,59967.8756,83581.8483,,53769.5812,
03/2007,48492.7955,,58791.2961,85131.1912,,53236.1613,
06/2007,52431.2346,,60527.3991,80747.1020,,54956.4902,
09/2007,49864.0598,,63358.2397,81308.9225,,57559.2668,
12/2007,56944.0189,,64504.8375,87351.2407,,57325.7137,
03/2008,50514.7825,,63262.2172,87962.4947,,57581.5501,
06/2008,54933.8007,,64536.0347,83592.8825,,56778.4338,
09/2008,52574.2909,,66611.2552,83135.8875,,57513.7048,
12/2008,58734.1298,,64715.9250,85620.3180,,55360.9582,
03/2009,51079.1629,,59620.6009,84199.0608,,53139.6006,
06/2009,55973.2198,,62119.9627,81036.9500,,56112.3864,
09/2009,53062.1142,,65860.9948,82718.7041,,59145.4367,
12/2009,59781.8486,,67601.4490,90006.6140,,59127.9776,
03/2010,55226.9691,,65753.2031,94438.6360,,61794.7707,
06/2010,60437.0430,,67762.6201,88314.7084,,66561.8567,
09/2010,56813.1617,,69663.4652,87490.4490,,65229.0728,
12/2010,63547.4691,180664.8585,71235.5876,93109.8900,47576.4983,66975.8199,
03/2011,57892.7844,181829.0239,69044.1037,97531.5398,48129.8156,67451.6556,
06/2011,62588.7980,188851.3649,70901.1859,89928.9769,47894.7388,68504.4056,
09/2011,58537.8833,195670.3775,73844.6561,89595.2125,50027.8513,70285.8411,
12/2011,66111.5576,191400.6898,75151.8629,89350.6050,50926.7874,70513.3448,
03/2012,61389.5208,192938.9357,72551.8143,100314.9106,50506.2123,70720.0967,
06/2012,66481.4055,200574.9010,74622.0316,95349.6247,50559.8814,72732.9412,
09/2012,62869.4034,207293.2736,77543.4534,94108.6674,52778.4587,71717.3299,
12/2012,71297.2618,202637.1424,80039.6070,103171.1957,53977.4484,73860.3516,
03/2013,66050.9065,203629.4327,75691.7163,105722.7145,52870.6415,73146.5215,
06/2013,71475.7720,211783.4772,78021.8383,97948.3701,53283.8813,76083.7001,
09/2013,67087.2874,218727.2631,81344.8094,96451.6827,55789.9374,76103.9925,
12/2013,75112.5553,213953.5955,84002.9858,103381.9942,57418.9577,77620.9387,4290.3339
03/2014,69815.0328,214046.8947,80433.8069,105330.6024,55798.6327,76276.6686,4373.1800
06/2014,76433.6789,222240.4091,83114.6999,98768.4793,56581.5266,78598.6454,4270.5150
09/2014,71068.9808,229514.4801,85923.8749,97494.8600,59465.3200,78885.7243,4179.0167
12/2014,80165.8332,224753.2275,88753.7622,105883.1985,61605.9910,81117.0366,4275.0840
03/2015,73479.9698,224388.0059,85175.5632,108562.7859,59283.4975,78544.4305,4146.6162
06/2015,81324.5003,232775.3035,87203.4450,101651.8375,60603.6208,81054.1687,4324.2195
09/2015,75750.5790,240484.1156,89916.3405,100855.8242,63724.2944,81768.9942,4277.7765
12/2015,85813.6521,236333.9190,92867.6328,109177.2189,66151.6720,82883.7698,4279.9018
03/2016,78563.7601,235480.4494,88819.1116,112176.4782,62539.9903,81138.7073,4289.7941
06/2016,87374.6484,244913.7210,90836.7333,105526.2163,64691.0111,83508.0074,4068.3291
09/2016,81302.9458,252588.8963,94003.7898,104073.8867,68130.6816,84361.4332,4125.0399
12/2016,91745.9904,248006.2045,97307.5473,112907.2554,71110.5743,86921.6342,4125.5368
03/2017,83571.5184,247274.1600,93772.6356,116474.0588,65774.3623,84967.8289,4233.8490
06/2017,93645.6137,257190.1480,96031.9736,110112.8063,68997.7445,86579.8810,4076.3261
09/2017,87426.3556,265381.9261,99783.8567,108738.1578,73264.9532,88823.5219,4180.1064
12/2017,97839.0304,260877.0928,102941.8602,117518.5179,76928.8793,90825.6459,4339.1025
03/2018,88965.6921,259808.7845,98707.1480,122359.9994,70893.2761,89013.3508,4352.2745
06/2018,99619.1692,270742.5685,100620.9615,115232.2628,73895.0802,90774.4940,3971.5534
09/2018,92799.5541,279110.6511,104316.7158,112258.7938,78536.9292,91670.9549,4134.0005
12/2018,104084.8792,274393.9529,107896.2892,122115.4801,82913.3804,92294.8861,4380.3694
03/2019,94191.2515,272960.1942,103317.2596,125598.9086,75916.1235,90403.4892,4342.6196
06/2019,105223.1445,284422.0288,105591.6860,117797.4641,79184.8414,92054.1350,4233.6475
09/2019,98672.8691,293093.6223,108973.6014,115018.0216,84523.7343,92537.5516,4222.1269
12/2019,110967.0673,287991.9987,111820.7837,123532.1470,89150.8747,93601.0221,4691.2474
03/2020,93571.2056,281054.5035,104046.0296,122802.9147,78355.9708,91539.9354,4440.6544
06/2020,87432.8400,269278.2091,87539.9165,103352.0693,79451.0667,81086.3301,4382.2345
09/2020,87275.7298,282869.3508,106200.0505,107744.9417,87056.3710,88533.7629,4240.6705
12/2020,101839.5599,281750.5925,108135.5913,118351.9137,93338.8863,93057.0349,4624.3399
03/2021,90015.5322,279122.6397,103555.3546,119856.1044,82213.4872,95121.8736,4383.6875
06/2021,98039.5106,288337.1110,101426.6823,111366.2544,84682.6542,95091.3969,4299.8893
09/2021,93400.0885,292852.6020,101442.6760,107544.3830,81805.9444,96228.8386,4162.7004
12/2021,109772.6869,295927.6173,112048.9204,120695.2822,98163.4681,99237.7678,4560.2496
03/2022,97356.1997,293147.4515,108682.0934,122444.3894,86365.7478,98957.1212,4199.6421
06/2022,105365.5197,304078.3761,110503.8676,114108.0039,91312.1061,99357.4541,4109.1646
09/2022,100532.0607,309642.7316,115811.0637,112479.1260,93025.1655,100099.8466,4201.6470
12/2022,117704.3605,310751.5081,119859.5849,122352.3195,103973.8589,101331.0924,
